Kategori,Başlık,İçerik
Bilim Teknoloji,"Bakan Kacır, Londra'da girişim sermayesi fon yöneticileriyle görüştü","Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, toplam büyüklüğü 30 milyar doları aşan uluslararası girişim sermayesi fon yöneticileriyle görüştü. Bakan Kacır, fon ve şirketleri Türkiye'de yatırıma davet etti."
Bilim Teknoloji,Pamuk şeker kadar hafif gezegen keşfedildi,"Araştırmacılar, Jüpiter'den daha büyük boyutta olan ""WASP-193b"" adlı ötegezegenin pamuk şeker kadar kabarık ve hafif olduğunu belirledi."
Bilim Teknoloji,"Bilim insanları, evrenin bilinen en eski yıldızlarını Samanyolu Galaksisi'nde buldu","ABD'de araştırmacılar, Samanyolu Galaksisi'nin halesinde, evrenin en yaşlı yıldızlarından olduğu düşünülen 3 yeni yıldız keşfetti."
ÖZEL HABER,Yenilenebilir enerji ile aydınlanan köy: Babasultan,"Enerji ve Tabii Kaynaklar Bakanlığı’na bağlı TEMSAN tarafından geliştirilen mini hidroelektrik santral ‘HİDROTEM’, 2022 yılından beri Bursa’nın Kestel ilçesine bağlı Babasultan Köyü’nde sokak, türbe ve cami gibi ortak kullanım alanlarının elektriğini karşılıyor."
Bilim Teknoloji,"ODTÜ'nün yapay zeka teknolojisiyle İstanbul ""karbon nötr şehir"" olacak","ODTÜ Güneş Enerjisi Uygulama ve Araştırma Merkezi (ODTÜ-GÜNAM), Avrupa Birliği 9. Çerçeve Programı Ufuk Avrupa kapsamında geliştirdiği UP2030 projesiyle aralarında İstanbul'un da yer aldığı 11 pilot şehri karbon nötr hale getirmeyi hedefliyor."
Bilim Teknoloji,TEKNOFEST TravelX Ideathon Yarışması için başvurular devam ediyor,"TEKNOFEST Havacılık, Uzay ve Teknoloji Festivali kapsamında THY (Türk Hava Yolları) yürütücülüğünde düzenlenen TravelX Ideathon Yarışması için başvurular 30 Haziran tarihine kadar devam ediyor."
Bilim Teknoloji,Sülüklerden ilham alınarak yeni bir cihaz geliştirildi,"Araştırmacılar, sülüklerden esinlenerek insanlarda kan alma işlemlerini kolaylaştıracak yeni bir cihaz tasarladı."
Bilim Teknoloji,Türk teknoloji firmaları Avrupa'da boy gösterecek,"Türkiye, Avrupa'nın en büyük teknoloji festivali olarak bilinen, 10-14 Haziran tarihlerinde 11'incisi düzenlenecek ""Londra Teknoloji Haftası""nda ilk kez açılacak ""Türkiye Pavilyonu""nda 60 firmayla yer alacak."
Bilim Teknoloji,Uydu haberleşmesine talep artıyor,"Türkiye'de, uzayda konuşlu uydular üzerinden haberleşme hizmeti sunan işletmelerin hem abone sayıları hem de gelirleri artıyor."
Bilim Teknoloji,Yerli takım uyduları göreve hazır,"Nesnelerin interneti (IoT) haberleşmesi ve yer gözlem hizmeti vermek için 5 test uydusu fırlatan Plan-S, bu görevleri yapacak Connecta IoT Network takım uydusunun ilk 4 uyduluk partisi ile ilgili çalışmalarda sona geldi."
Bilim Teknoloji,"Bakan Kacır: 2030'da, elektrikli ve şarj edilebilir hibrit araçların yerlilik oranı yüzde 75'e çıkacak","Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, ""2030'da, elektrikli ve şarj edilebilir hibrit araçların Türkiye'deki pazar payının yüzde 35'e, bu araçlarda yerlilik oranının yüzde 75'e çıkmasını amaçlıyoruz"" dedi."
Bilim Teknoloji,Afetlerde yerli ve milli arama kurtarma cihazları kullanılacak,"Afet ve Acil Durum Yönetimi Başkanlığının (AFAD) çalışmaları sonucu, arama ve kurtarma operasyonlarında kullanılan 34 kalem ithal cihaz ve malzemenin 14'ünün Türkiye'de üretilmesi sağlandı."
Bilim Teknoloji,Kalın bir atmosfere sahip süper Dünya keşfedildi,41 ışık yılı uzaklıktaki bir Güneş sisteminde Dünya'nın iki katı büyüklüğünde bir gezegenin çevresinde kalın bir atmosfer tespit edildi. Ancak gezegenin yaşama elverişli olduğu düşünülmüyor.
Bilim Teknoloji,Google'ın yeni yapay zekası DNA ve RNA yapı taşlarına giriyor,"Google DeepMind, yalnızca proteinlerin yapısını değil aynı zamanda DNA ve RNA gibi moleküllerinin yapısını da tahmin eden yapay zeka modelinin geliştirilmiş bir versiyonunu sundu. Yeni model AlphaFold 3'ün çalışması tıp, tarım, malzeme bilimi ve ilaç geliştirme alanındaki araştırmacıların potansiyel keşifleri test etmesine yardımcı olacak."
Bilim Teknoloji,Yerli süper iletken elektron hızlandırıcısı devreye alındı,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, Türk Hızlandırıcı ve Işınım Laboratuvarı'nda (TARLA) devreye alınan elektron hızlandırıcısı sayesinde elde edilecek kabiliyetlerle sağlıktan havacılığa, çevreden uzaya kadar pek çok alanda bilim ve mühendislik araştırmalarının önünün açılacağını söyledi."
Bilim Teknoloji,"Çin'in ""Çang'ı 6"" keşif aracı, Ay yörüngesine girdi","Çin'in Ay'ın karanlık yüzünden kaya ve toprak örnekleri toplamak üzere 3 Mayıs'ta uzaya gönderdiği ""Çang'ı 6"" keşif aracının yörüngeye girdiği bildirildi."
Bilim Teknoloji,Bakan Kacır: 2030'da 100 Turcorn ve 100 bin teknoloji girişimciliği hedefimize ulaşacağız,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, Türkiye'nin en kıymetli hazinesi insan kaynağına yatırım yapmaya devam edeceklerini belirterek, ""Girişimlerimizi finansman kaynaklarıyla, nitelikli altyapı ve programlarla buluşturarak 2030'da 100 Turcorn ve 100 bin teknoloji girişimciliği hedefimize ulaşacağız"" dedi."
Bilim Teknoloji,Türkiye merkezli yapay zeka firmalarının sayısında büyük artış,Türkiye merkezli yapay zeka ürünleri geliştiren firmaların sayısı bu yıl itibarıyla 1195'e yükseldi.
Bilim Teknoloji,"6. sınıf öğrencisi, ekmeğin küflenmesini geciktiren doğal katkı maddesi üretti","Zonguldak'ta ortaokul öğrencisi Ayşe Eslem Yangın, bitki özlerinden ekmeklerin küflenmesini geciktirecek doğal katkı maddesi üretti."
Bilim Teknoloji,"Genç mühendisler, devlet desteğiyle kurdukları merkezde dron üretiyor","Sanayi ve Teknoloji Bakanlığının destekleriyle Kocaeli'de kurdukları AR-GE merkezinde çeşitli alanlarda kullanıma uygun dron üreten İstanbul Teknik Üniversitesi (İTÜ) mezunu iki mühendis, yurt dışına açılma hedefiyle çalışmalarını sürdürüyor."
Bilim Teknoloji,Türksat 6A için ay-yıldızlı logo belirlendi,"Ulaştırma ve Altyapı Bakanı Uraloğlu, Türkiye'nin ilk yerli ve milli haberleşme uydusu Türksat 6A'nın logosunu belirlediklerini belirterek, ""Türkiye'nin en büyük AR-GE projesi olan uzaydaki gücümüze güç katacak Türksat 6A için belirlediğimiz logonun ilhamını da Türkiye Yüzyılı vizyonu ve gururla dalgalandırdığımız bayrağımızdan aldık"" dedi."
Bilim Teknoloji,"SpaceX, uzaya 23 Starlink ve 2 gözlem uydusu fırlattı","Amerikan uzay mekiği ve roket üreticisi SpaceX, Starlink İnternet Ağı Projesi kapsamında 23 Starlink ve 2 dünya gözlem uydusunu uzaya gönderdi."
Bilim Teknoloji,HAVELSAN simülatör yeteneğini tescilledi,"HAVELSAN'ın Türk Hava Yolları (THY) için geliştirdiği Airbus A320 Tam Uçuş Simülatörü (FFS), Avrupa Havacılık Emniyeti Ajansı (EASA) Level D sertifikasını aldı."
Bilim Teknoloji,Orangutan yarasını tedavi etmek için şifalı bir bitki kullandı,"Bilim insanları, bir orangutanın yarasını tropikal bir bitkiden elde edilen ilaçla tedavi ettiğini ortaya çıkardı. Bu, bazı hayvanların vahşi doğada bulunan ilaçlarla kendi hastalıklarını nasıl hafifletmeye çalıştıklarının son örneği."
Bilim Teknoloji,"Dünya'nın manyetik alanının zayıflaması, kompleks yaşamın gelişimini sağlamış olabilir","Araştırmacılar, 591 ila 565 milyon yıl önce Dünya’nın manyetik alanının zayıflamasının, hidrojen iyonu seviyesini azaltarak kompleks yaşamın gelişimine yardım etmiş olabileceğini belirtti."
Bilim Teknoloji,"Araştırma üniversitelerine AR-GE için 503,9 milyon lira kaynak aktarılacak","Yükseköğretim Kurulu (YÖK) Başkanı Prof. Dr. Erol Özvar, bu yıl araştırma üniversitelerinde 327 AR-GE projesi için 503,9 milyon lira bütçe aktarımı yapılacağını duyurdu."
Bilim Teknoloji,Yapay zeka işsiz bırakabilir,"Üsküdar Üniversitesi Sosyoloji Bölümü Başkanı Prof. Dr. Barış Erdoğan, yapay zekanın insan hayatına etkilerini değerlendirerek, işsizlik endişesini tetiklediğini belirtti."
Bilim Teknoloji,HAVELSAN'a yeni uçak simülatörü görevi,"Uluslararası Simülatör Eğitim Merkezi (IFTC), HAVELSAN Airbus A320 Tam Uçuş Simülatörü (FFS) ile eğitim altyapısını genişletecek."
Bilim Teknoloji,Uzayın 225 milyon kilometre uzağından Dünya'ya lazer mesaj iletildi,"NASA'nın Psyche uzay aracındaki derin uzay iletişim teknolojisi, dikkat çeken bir başarı göstererek rekor kırdı ve lazer kullanarak derin uzaydan mesaj iletme yeteneğini kanıtladı. Bu etkileyici başarı, gelecekteki uzay araçlarının optik iletişimi kullanmasının önünü açarak daha hızlı ve daha karmaşık veri iletimini mümkün kılıyor."
Bilim Teknoloji,"Microsoft, Endonezya'da yapay zeka ve bulut sistemine 1,7 milyar dolarlık yatırım planlıyor","ABD'li teknoloji şirketi Microsoft, Endonezya'daki bulut depolama sistemi (Cloud) ve yapay zeka altyapısına 1,7 milyar dolar değerinde yatırım yapacağını açıkladı."
Bilim Teknoloji,Bilişim Vadisi'nden Türk girişimcilere tam destek,"Bilişim Vadisi, bünyesinde faaliyet yürüten firmaların uluslararası arenada daha rekabetçi hale gelmesi için her türlü desteği verirken, teknoloji geliştirme programlarıyla da Türkiye'ye yüksek katma değerli ürünlerin kazandırılmasını sağlıyor."
Bilim Teknoloji,James Webb Uzay Teleskobu Atbaşı Bulutsusu'nun görüntüsünü yakaladı,"James Webb Uzay Teleskobu, uzaydaki bilinen en ikonik gök cisimlerinden biri olan Atbaşı Bulutsusu'nun inanılmaz derecede keskin görüntülerini yakaladı."
Bilim Teknoloji,Araştırma: T-rex türü dinozorlar sanıldığı gibi zeki değil,"Aralarında davranış bilimci, paleontolog ve nörologların bulunduğu uluslararası araştırma heyeti, tyrannosaurus rex (T-rex) türü dinozorların sanıldığı gibi zeki olmadıklarını, timsah ve kertenkeleler gibi davrandıklarını ortaya koydu."
Bilim Teknoloji,Threads uygulaması Türkiye'de erişime kapandı,"Meta şirketinin X'e (Twitter) rakip olarak piyasaya sürdüğü ve şu anda dünya çapında yaklaşık 150 milyon aylık aktif kullanıcısı olan Threads uygulaması, Rekabet Kurumu'nun kararı sonrası Türkiye'de erişime kapandı."
Bilim Teknoloji,"ULAK, 6G ve ötesi çalışmalar için laboratuvar kuracak","ULAK Haberleşme, yılın ikinci yarısında TÜBİTAK desteğiyle ""6G ve ötesi"" haberleşme teknolojileri alanında öncül araştırma laboratuvarı kuracak."
Bilim Teknoloji,"Yapay zeka yemek tarifi de veriyor, merhum sanatçıya şarkı da söyletiyor","Yapay zeka uygulamaları birçok alanda etkisini giderek artırırken buzdolabındaki ürünlerden yemek tarifi vermeye, merhum sanatçıların sesini yaşatabilmeye kadar hayatın farklı noktalarına da dokunuyor."
Bilim Teknoloji,Türk doktorun “Fındık tekniği” yöntemi dünya tıp literatürüne girdi,"Sağlık Bilimleri Üniversitesi Ankara Onkoloji Eğitim ve Araştırma Hastanesi Göğüs Cerrahisi Uzmanı Prof. Dr. Göktürk Fındık, kalp zarının alınmasının gerektiği lokal ileri akciğer kanseri ameliyatlarında ""yapay protez"" kullanmadan uygulanan ""Fındık tekniği"" yöntemini ilk kez dünya tıp literatürüne kazandırdı."
Bilim Teknoloji,Termal akımla havalanacak İHA'lar daha az enerjiyle daha uzun süre gökyüzünde kalacak,"Türk Hava Kurumu (THK) Üniversitesi Uçak Mühendisliği Öğretim Üyesi Doç. Dr. Mecit Yaman, yapay zekayı da kullanarak geliştirdikleri projeyle termal akımla havalanacak insansız hava araçlarının (İHA) daha az enerjiyle daha uzun süre gökyüzünde kalmasını hedeflediklerini söyledi."
Bilim Teknoloji,"Türk yazılımcılar, NATO tatbikatına güç kattı","HAVELSAN siber güvenlik uzmanları, NATO'nun dünyanın en gelişmiş gerçek zamanlı siber savunma tatbikatına katıldı."
ÖZEL HABER,Uzayın derinliklerine objektif tutuyor: Astrofotoğrafçı Can Rıfat Turcan,"Uzay insanlık için hala bilinmezliğini korumaya devam ederken astrofotoğrafçı Can Rıfat Turcan, video ve fotoğraflarıyla bu gizemi aydınlatmaya çalışanlardan... Günlerce emek verip çektiği anlar, kainatın eşsiz güzelliğini gözler önüne seriyor."
DOSYA HABER,Türkiye uydu üreten 10 ülke arasında: Güney Asya da kapsama giriyor,"1968 yılında başlayan Türkiye’nin uydu macerasında en önemli adım olacak TÜRKSAT 6A için gün sayılıyor. Temmuz ayında fırlatılması hedeflenen uydu, Türkiye’nin 6’ncı aktif haberleşme ve yayın uydusu olacak. Yerli üretim TÜRKSAT 6A ile Hindistan, Tayland, Malezya ve Endonezya da kapsama girecek."
Bilim Teknoloji,Çinli taykonotları taşıyan Şıncou-18 mekiği uzay istasyonuna ulaştı,Çin'in Dünya yörüngesinde kurduğu uzay istasyonuna gönderdiği yeni taykonot ekibi hedefine ulaştı.
Bilim Teknoloji,Bakan Kacır: Fikri hakları Türkiye'ye ait Sağlık Bakanlığı’ndan onay alan ilk ilaç adayı geliştirildi,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, ""Prof. Dr. Rana Sanyal hocamız ve ekibi; tüm geliştirme faaliyetleri Türkiye’de yapılan, fikri hakları tamamen ülkemize ait, klinik araştırmalar için Sağlık Bakanlığı Türkiye İlaç ve Tıbbi Cihaz Kurumu'ndan (TİTCK) onay alan ülkemizin ilk ilaç adayını geliştirdi"" dedi."
Bilim Teknoloji,"Araştırma: Dünyanın manyetik alanı 3,7 milyar yıl öncesiyle neredeyse aynı","Araştırmacılar, dünyanın manyetik alanının 3,7 milyar öncesiyle neredeyse aynı olduğunu ortaya koydu."
Bilim Teknoloji,Türk devletleri uzaya ortak uydu gönderecek,"Türk devletleri, ortak uydu üreterek bu alandaki iş birliğini güçlendirmek amacıyla mühendislerden oluşan özel bir ekip kurmak için düğmeye bastı."
Bilim Teknoloji,Teknolojik yol İstanbul’da test ediliyor,"Hasdal Kavşağı ile İstanbul Havalimanı arasındaki 30 kilometrelik yolda teknolojik yol testi devrede. Bu yolda ‘bluetooth’ sensörler, Plaka Tanıma Sistemi, kesit bazlı radar, LİDAR, tabanlı araç sayımı gibi geleceğin tüm karayolu ulaşım teknolojileri bir arada yer alıyor. Buradan elde edilecek bilgi, gelecekte tüm karayoluna yayılacak."
Bilim Teknoloji,Bilim insanları 150 dakikada elmas üretti,"Bilim insanları, oluşması milyarlarca süren doğal elması, sıvı metallerin karışımına dayanan yeni bir yöntemle, daha az basınç kullanarak 150 dakikada oluşturdu."
Bilim Teknoloji,Yazılım dünyası İstanbul'da buluştu,"Yazılım geliştirme süreçleri, operasyonel altyapı yönetimi ve bu alanlarda çalışan ekipleri bir araya getiren teknik konferans DevOpsDays, Türkiye'de 6'ncı kez düzenlendi."
Bilim Teknoloji,Türkiye üzerinden geçen casus uyduları yapay zeka yakalayacak,"Türkiye üzerinden geçen uzay araçları ve uyduların da aralarında olduğu cisimler ""yapay zeka"" kullanılarak izlenebilecek. Böylece casusluk faaliyetleri tespit edilebilecek ve casus uydular tarafından görülmesi istenmeyen faaliyetler gizlenebilecek."
Bilim Teknoloji,Vaatlerini yerine getirmeyen TikTok'a yaptırım uyarısı,"TBMM Dijital Mecralar Komisyonu Başkanı Yayman, TikTok'un Komisyon'a verdiği vaatleri yerine getirmediğini belirterek, ""Muhtemelen önümüzdeki günlerde TikTok temsilcilerini tekrar Meclis'e çağıracağız."" dedi. Yaptırım imkanlarından bahseden Yayman, bütün bunları milletin talepleri doğrultusunda değerlendireceklerinin altını çizdi."
Bilim Teknoloji,Aylardır sessiz olan Voyager 1'den yeniden sinyal alındı,"ABD Uzay Ajansı NASA, evrendeki en uzak insan yapımı nesne olan Voyager 1 sondasının, aylarca süren sessizlikten sonra yeniden sinyal göndermeye başladığını duyurdu."
Bilim Teknoloji,"Google'ın 23 Nisan'a özel ""doodle""ı","Google, 23 Nisan Ulusal Egemenlik ve Çocuk Bayramı'na özel içinde Türk Bayrağı ve balonlar yer alan ""doodle"" hazırladı."
Bilim Teknoloji,Astronotları uzaydaki radyasyondan akrep derisinden üretilen krem koruyacak,"Biruni Üniversitesi Eczacılık Fakültesi Dekanı Prof. Dr. İsmail Tuncer Değim ile öğrencileri, astronotların uzaydaki yüksek oranlı radyasyondan korunması için akrep derisinden krem geliştirdi."
Bilim Teknoloji,TÜİK çocuklar için hayata geçirdiği portalı güncelledi,"Türkiye İstatistik Kurumu (TÜİK), çocuklara istatistiği sevdirmek ve veri okuryazarlığını artırmak için hayata geçirdiği ""TÜİK Çocuk"" portalını güncelledi."
Bilim Teknoloji,En çok SMS ile dolandırıcılık yaygın: Nasıl önlenebilir?,Dijital dünya dolandırıcılık yöntemlerini de değiştirdi. Tıklanan tek bir linkle banka hesaplarınız ya da kişisel bilgileriniz kötü niyetli kişilerin eline geçebiliyor. Araştırmalar en çok SMS üzerinden dolandırıcılık girişimi yapıldığını gösteriyor. SMS yöntemiyle gelen bu mesajlara karşı önlem almak ise mümkün.
Bilim Teknoloji,"4 bin 200 yıllık ""zombi mezarı"" bulundu","Almanya'da yaklaşık 4 bin 200 yıllık ""zombi mezarı"" gün yüzüne çıkarıldı. Gömü alanı, Saksonya-Anhalt eyaletinin Anıtları Koruma ve Arkeoloji Dairesi'nden arkeologların Oppin kasabası yakınlarında yaptığı kazılarda bulundu."
Bilim Teknoloji,NASA çalışanı uyardı: Starlink uyduları Dünya'yı zehirleyebilir,"Eski NASA bilim insanı, Elon Musk'ın Starlink uydularının Dünya'nın manyetik alanını aşındırıp yavaş yavaş hepimizi zehirleyebileceği konusunda uyardı."
Bilim Teknoloji,ABD'deki robotik dünya şampiyonasında 9 Türk takımı ödül kazandı,"ABD'nin Texas eyaletinde gerçekleştirilen 2024 FIRST Robotics Competition (FRC) dünya şampiyonasına lise düzeyinde 17 takımla katılan Türk ekiplerinden 9'u, çeşitli kategorilerde ödüle layık görüldü."
Bilim Teknoloji,Robotik dünya şampiyonasında 17 Türk takımı yarışıyor,"Türkiye, dünyanın en prestijli robotik yarışmalarından biri olan FIRST Robotics Competition şampiyonasına, 17 takım ile ev sahibi ABD ve Kanada'dan sonra en fazla takımla katılan ülke oldu."
Bilim Teknoloji,Hindistan'da yaklaşık 47 milyon yıl önce yaşayan devasa yılana ait fosil bulundu,"Hindistan'da bir madende, ""şimdiye kadar yaşayan en büyük yılanlardan"" olduğu tahmin edilen yılana ait, yaklaşık 47 milyon yıllık omurlar keşfedildi."
Bilim Teknoloji,Yoğun bakımdaki hastaların elini tutacak robot kol geliştirildi,"Erzurum Atatürk Üniversitesi'nde akademisyenler, COVID-19 döneminden yola çıkarak hastanelerin yoğun bakım ünitelerinde tedavi gören, özellikle bilinci kapalı hastalara tedavi sürecinde bir yakınının elini tutuyormuş hissi veren el şeklinde cihaz geliştirdi."
Bilim Teknoloji,Türk fizikçi Furkan Öztürk'e Harvard'dan önemli ödül,"Türk fizikçi Furkan Öztürk, bilimin 175 yıldır çözemediği 4 milyar yıl önce yaşamın nasıl başladığına dair gizemi ortaya çıkardığı ""çığır açıcı"" keşfi ile Harvard Üniversitesince ödüle layık görüldü. Bu ödülün çok az sayıdaki araştırma yapan öğrenciye verildiği öğrenildi."
Bilim Teknoloji,"Türk bilim insanları beyin hücrelerinde ""mikroplastik"" tespit etti","Türk bilim insanlarınca, beyin hücrelerinde ""mikroplastik"" bulunduğunu ortaya koyan bilimsel çalışma, günlük yaşamda birçok alanda kullanılan bu ürünlerin, gelecekte Alzheimer, MS, inme ve beyin kanaması gibi hastalıklarda etken olup olmadığına ışık tutacak."
Bilim Teknoloji,Mars helikopteri NASA'ya son mesajını gönderdi,"2021 yılında başka bir gezegende uçan ilk araç olan NASA'nın Ingenuity Mars Helikopteri, Ocak ayındaki bir çarpışmanın ardından uçuş günlerini geride bıraktı ve artık çevresinin fotoğraflarını çekmek ve sıcaklığı ölçmek için sabit bir monitör olarak kullanılmaya başlanacak."
Bilim Teknoloji,"Boston Dynamics, insansı robotunu güncelledi: Atlas 2","Boston Dynamics, parkur performansıyla tanınan efsanevi Atlas robotunu kullanımdan kaldıracağını duyurdu. Ancak bu bir veda değil. Atlas elektrikli versiyonuyla geri döndü."
Bilim Teknoloji,Bilinen en büyük deniz sürüngenleri keşfedilmiş olabilir,"Bilim insanları, denizlerde yüzen, tarihin muhtemelen en büyük deniz sürüngeninin yaklaşık iki otobüs büyüklüğündeki iktinozorlar olduğunu belirledi."
Bilim Teknoloji,Samanyolu'nun bilinen ikinci en büyük kara deliği tespit edildi,"Gökbilimciler, galaksimizin merkezinde gizlenen süper kütleli kara delik dışında Samanyolu'nda bilinen en büyüğü olan, Güneşimizinkinden yaklaşık 33 kat daha büyük bir kütleye sahip bir kara delik keşfettiler."
Bilim Teknoloji,Plüton'un kalbinin nasıl oluştuğunu artık biliyoruz,"Plüton'un en tanınabilir özelliği, Tombaugh Regio olarak bilinen, üzerindeki kalp şekli. Yeni bir araştırma bu şeklin yer aldığı bölgenin nasıl oluştuğunu gün yüzüne çıkarıyor."
ÖZEL HABER,Türkiye’nin teknoloji girişimleri Teknoparklardan dünyaya açılıyor,İlki 2001 yılında kurulan teknoloji geliştirme bölgeleri bugün 89 merkezde teknoloji kullanarak mal veya hizmet üretmek isteyen girişimcilere ev sahipliği yapıyor.
Bilim Teknoloji,"Gök bilimciler yıldız kaynaklı ""en büyük"" kara deliğe ulaştı","Gök bilimciler, Dünya'nın da içerisinde bulunduğu Samanyolu Galaksisi'nde yıldız kaynaklı ""en büyük"" kara deliği keşfetti."
Bilim Teknoloji,Akdeniz'de gözleri başından 20 kat büyük canlı bulundu,"Bilim insanları, dev gözlü deniz solucanının keşfiyle şaşkına döndü. Bu solucanın kafasından 20 kat daha ağır olan gözleri, bir memeli kadar keskin görüş sağlıyor."
Bilim Teknoloji,Darbe aldıkça sertleşen malzeme geliştirildi,"Bilim insanları darbe aldıkça daha sert hale gelen bir madde geliştirdi. ""Uyarlanabilir dayanıklılığa"" sahip malzemeyi mısır nişastasından ilham alarak tasarladı."
Bilim Teknoloji,Uzmanlar uyardı: Yapay zeka toplumsal düzeni yok edebilir,"Japon yetkililer, yapay zekanın toplumsal düzeni yok edebileceğini, yaratacağı sorunların, faydalarına ağır bastığını savundu. Bu teknolojiyle ilgili yeni düzenlemeler oluşturulmasını istedi."
Bilim Teknoloji,Türkiye'nin gözlem uydusu İMECE uzaydaki birinci yılını tamamladı,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, Türkiye’nin ilk yüksek çözünürlüklü yerli ve milli gözlem uydusu İMECE'nin uzaydaki birinci yılını tamamladığını duyurdu."
Bilim Teknoloji,"Meta, Threads'i Türkiye'de geçici olarak kapatacak","Meta'nın metin tabanlı sosyal medya platformu Threads, Türk Rekabet Kurumu'nun ara emrine uymak için 29 Nisan'dan itibaren Türkiye'de geçici olarak kapatılacak."
Bilim Teknoloji,ODTÜ'nün projesi gezegenleri internetle birbirine bağlayacak,"Telekomünikasyon üzerine araştırmalar yürüten ODTÜ Öğretim Üyesi Prof. Dr. Elif Uysal, bilim dünyasında ""Nobel öncesi ödül"" olarak görülen Avrupa Araştırma Konseyi (ERC) Advanced Grant desteği kazandığı projesi kapsamında uzayda artan veri trafiğini taşıyabilecek gezegenler arası haberleşme ağı altyapısı kurmak için çalışmaya başladı."
